Fiscal Year,Category,No.Of Industry,Proposed Total Capital (In Million Rupees),Proposed Fixed Capital (In Million Rupees),Proposed Working Capital (In Million Rupees),Proposed Employment (In Number)
Up to 2065/66,Agro And Forestry Based,173.00,10242.93,8676.84,1674.09,25270.00
Up to 2065/66,Construction,30.00,2384.03,2145.14,238.89,1780.00
Up to 2065/66,Energy Based,39.00,30444.59,27933.20,2511.40,7602.00
Up to 2065/66,Manufacturing,1909.00,125575.48,88064.35,37511.12,230198.00
Up to 2065/66,Mineral,7.00,323.16,253.49,71.77,587.00
Up to 2065/66,Service,982.00,58290.00,46111.84,12223.16,71930.00
Up to 2065/66,Tourism,614.00,31732.00,27853.30,3870.79,27458.00
Up to 2065/66,Total,3754.00,258992.19,201038.15,58101.23,364825.00
2066/67,Agro And Forestry Based,1.00,2.50,2.10,0.40,24.00
2066/67,Construction,4.00,2450.00,2396.87,53.13,430.00
2066/67,Energy Based,14.00,23173.38,21227.21,1946.18,611.00
2066/67,Manufacturing,78.00,7324.99,5375.10,1949.89,6320.00
2066/67,Mineral,4.00,588.00,457.05,130.95,574.00
2066/67,Service,96.00,4333.43,3619.65,713.78,4694.00
2066/67,Tourism,61.00,1373.05,1274.84,98.01,1857.00
2066/67,Total,258.00,39245.35,34352.81,4892.34,14510.00
2067/68,Agro And Forestry Based,21.00,536.56,425.42,111.14,787.00
2067/68,Construction,1.00,45.00,40.00,5.00,33.00
2067/68,Energy Based,19.00,67753.12,66968.04,785.08,3387.00
2067/68,Manufacturing,68.00,7432.69,5481.47,1951.21,4282.00
2067/68,Mineral,4.00,99.60,88.10,11.50,426.00
2067/68,Service,81.00,11798.46,2315.10,9483.37,3016.00
2067/68,Tourism,48.00,2750.14,2595.04,155.11,1796.00
2067/68,Total,242.00,90415.58,77913.17,12502.40,13727.00
2068/69,Agro And Forestry Based,12.00,161.20,142.70,18.50,396.00
2068/69,Construction,2.00,490.00,456.00,34.00,176.00
2068/69,Energy Based,33.00,55014.91,53263.61,1751.30,1816.00
2068/69,Manufacturing,59.00,17189.88,14780.78,2409.09,6527.00
2068/69,Mineral,7.00,164.00,129.14,34.86,607.00
2068/69,Service,105.00,9596.70,8940.72,655.98,5530.00
2068/69,Tourism,61.00,1810.71,1648.91,161.69,1908.00
2068/69,Total,279.00,84427.39,79361.86,5065.42,16960.00
2069/70,Agro And Forestry Based,54.00,1992.25,1588.79,403.47,2204.00
2069/70,Energy Based,70.00,86537.52,84286.59,2250.93,5105.00
2069/70,Manufacturing,114.00,13331.73,10350.07,2981.66,9678.00
2069/70,Mineral,10.00,267.16,238.52,28.64,833.00
2069/70,Service,95.00,10321.28,4925.22,5396.06,5911.00
2069/70,Tourism,103.00,7151.19,6594.08,557.11,4804.00
2069/70,Total,446.00,119601.13,107983.27,11617.86,28535.00
2070/71,Agro And Forestry Based,46.00,1566.68,1299.41,267.27,1627.00
2070/71,Construction,1.00,35000.00,34750.00,250.00,100.00
2070/71,Energy Based,42.00,222158.24,217248.42,4909.82,4657.00
2070/71,Manufacturing,96.00,18082.99,14542.48,3540.50,7966.00
2070/71,Mineral,2.00,105.00,81.00,24.00,262.00
2070/71,Service,99.00,5061.96,1790.76,3271.21,3584.00
2070/71,Tourism,84.00,5832.77,5506.70,326.08,3252.00
2070/71,Total,370.00,287807.65,275218.77,12588.88,21448.00
2071/72,Agro And Forestry Based,50.00,1513.90,1348.21,165.69,1596.00
2071/72,Construction,6.00,1223.00,919.55,303.46,324.00
2071/72,Energy Based,29.00,83081.73,82381.08,700.64,2392.00
2071/72,Manufacturing,90.00,17393.13,13893.52,3499.61,6059.00
2071/72,Mineral,7.00,251.00,223.50,27.50,680.00
2071/72,Service,137.00,8073.16,5976.56,2096.60,4992.00
